numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07630;20160921090000;101770;50;3;320;1.800000;292.250000;286.650000;70;31440;0;mq;mq;90;1;450;mq;mq;mq;100020;mq;mq;0;mq;mq;mq;mq;283.950000;mq;mq;3.700000;3.700000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;390;7;mq;7440;mq;mq;mq;mq;mq;mq;
07643;20160921090000;101590;60;1;280;1.600000;294.650000;280.450000;40;40000;2;0;0;0;0;mq;30;20;10;101500;mq;mq;170;mq;mq;mq;mq;286.450000;mq;mq;3.200000;3.600000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07650;20160921090000;101470;110;1;310;5.500000;292.950000;283.050000;53;19760;0;mq;mq;mq;0;mq;mq;mq;mq;101090;mq;mq;230;mq;mq;mq;mq;285.950000;mq;mq;7.600000;8.300000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07661;20160921090000;101280;110;1;280;3.200000;294.250000;287.450000;65;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99730;mq;mq;140;mq;mq;mq;mq;mq;mq;mq;5.100000;5.100000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07690;20160921090000;101260;60;2;140;0.600000;297.350000;288.050000;56;30000;2;0;0;25;1;800;33;28;10;100960;mq;mq;60;mq;mq;mq;mq;291.250000;mq;mq;1.800000;5.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;800;1;3;3000;1;9;1000;mq;mq;mq;
07747;20160921090000;101620;60;1;310;5.900000;296.650000;282.950000;42;48120;0;mq;mq;mq;1;2940;mq;mq;mq;101110;mq;mq;60;mq;mq;mq;mq;289.550000;mq;mq;8.600000;9.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;2940;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07761;20160921090000;101290;120;1;220;2.700000;296.550000;288.050000;59;30000;2;0;0;10;1;800;32;20;10;101190;mq;mq;-30;mq;mq;mq;mq;288.050000;mq;mq;3.900000;3.900000;-10;0;0.000000;0.000000;-30;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;1;8;800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07790;20160921090000;101230;80;3;60;2.700000;297.350000;289.650000;62;25000;2;0;0;50;4;800;33;27;10;101090;mq;mq;0;mq;mq;mq;mq;291.950000;mq;mq;4.400000;4.400000;-10;2;0.000000;0.000000;-30;0.000000;0.000000;6.100000;mq;mq;mq;mq;mq;mq;1;8;700;2;8;1100;2;3;2500;1;9;1000;
61968;20160921090000;101650;10;mq;100;3.600000;302.750000;291.850000;52;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101620;mq;mq;20;mq;293.850000;mq;303.650000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61972;20160921090000;101930;10;mq;120;2.300000;299.350000;291.250000;61;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101860;mq;mq;-10;mq;292.350000;mq;300.750000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
